|   # |      Column Name | IMAGE (single) | IMAGE (single) MEF format | MEFIMAGE (mosaic) MEF format | IMAGE.FLUXMAP | SPECTRUM | CUBE.IFS | VISIBILITY | SRCTBL | MCATALOG | CATALOGTILE |   CATALOG |
|  57 |            VOPUB |             NA |                        NA |                           NA |            NA |       NA |       NA |         NA |     NA |       NA |          NA |        NA |
|  58 |            TITLE |             NA |                        NA |                           NA |            NA |       NA |       NA |         NA |     NA |       NA |          NA |        NA |
|  59 |         APERTURE |             NA |                        NA |                           NA |            NA |       NA |       NA |         NA |     NA |       NA |          NA |        NA |
|  60 |          TELAPSE |             NA |                        NA |                           NA |            NA |       NA |       NA |         NA |     NA |       NA |          NA |        NA |
|  61 |             TMID |             NA |                        NA |                           NA |            NA |       NA |       NA |         NA |     NA |       NA |          NA |        NA |
|  62 |         SPEC_VAL |             NA |                        NA |                           NA |            NA |       NA |       NA |         NA |     NA |       NA |          NA |        NA |
|  63 |          SPEC_BW |             NA |                        NA |                           NA |            NA |       NA |       NA |         NA |     NA |       NA |          NA |        NA |
|  64 |           BNOISE |             NA |                        NA |                           NA |            MM |       NA |       NA |         NA |     NA |       NA |          NA |      MA45 |
|  65 |          MAPMODE |             NA |                        NA |                           NA |            MM |       NA |       NA |         NA |     NA |       NA |          NA |      MA45 |
|  66 |            FEBEi |             NA |                        NA |                           NA |            MM |       NA |       NA |         NA |     NA |       NA |          NA |      MA45 |
|  67 |          CONTENT |             NA |                        NA |                           NA |            NA |       NA |       NA |         MM |     NA |       NA |          NA |        NA |
|  68 |          INSMODE |             NA |                        NA |                           NA |            NA |       NA |       NA |         MM |     NA |       NA |          NA |        NA |
|  72 |          VIS2ERR |             NA |                        NA |                           NA |            NA |       NA |       NA |         MM |     NA |       NA |          NA |        NA |
|  73 |         T3PHIERR |             NA |                        NA |                           NA |            NA |       NA |       NA |         MM |     NA |       NA |          NA |        NA |
|  74 |           STOKES |             SU |                        SU |                           SU |            SU |       SU |       SU |         SU |     SU |       SU |          SU |        SU |
|  75 |         HDUCLASS |             NA |                        NA |                           NA |            NA |       NA |       NA |         NA |     NA |       NA |          NA |        NA |
|  76 |         HDUCLASi |             NA |                        NA |                           NA |            NA |       NA |       NA |         NA |     NA |       NA |          NA |        NA |
|  77 |           HDUDOC |             NA |                        NA |                           NA |            NA |       NA |       NA |         NA |     NA |       NA |          NA |        NA |
|  78 |          HDUVERS |             NA |                        NA |                           NA |            NA |       NA |       NA |         NA |     NA |       NA |          NA |        NA |
|  79 |          SCIDATA |             NA |                        NA |                           NA |            NA |       NA |       NA |         NA |     NA |       NA |          NA |        NA |
|  80 |          ERRDATA |             NA |                        NA |                           NA |            NA |       NA |       NA |         NA |     NA |       NA |          NA |        NA |
|  81 |         QUALDATA |             NA |                        NA |                           NA |            NA |       NA |       NA |         NA |     NA |       NA |          NA |        NA |
|  82 |         CONFDATA |             NA |                        NA |                           NA |            NA |       NA |       NA |         NA |     NA |       NA |          NA |        NA |
|  83 |          BKGDATA |             NA |                        NA |                           NA |            NA |       NA |       NA |         NA |     NA |       NA |          NA |        NA |
|  84 |           BKGERR |             NA |                        NA |                           NA |            NA |       NA |       NA |         NA |     NA |       NA |          NA |        NA |
|  85 |          BKGCONF |             NA |                        NA |                           NA |            NA |       NA |       NA |         NA |     NA |       NA |          NA |        NA |
|  86 |         ABMAGLIM |             MM |                        NA |                           NA |            NO |       NA |       MM |         NA |     MM |     MA47 |        MA47 |      MA47 |
|  87 |         PIXNOISE |             NA |                        NA |                           NA |            NA |       NA |       MM |         NA |     NA |       NA |          NA |        NA |
|  88 |          MAGLIMi |             NA |                        NA |                           NA |            NA |       NA |       NA |         NA |     NA |     MA48 |        MA48 |      MA48 |
|  89 |         ABMAGSAT |             MM |                        NA |                           NA |            NA |       NA |       NA |         NA |     NA |       NA |          NA |        NA |
|  90 |         PSF_FWHM |             MM |                        NA |                           NA |            NA |       NA |       NA |         NA |     NA |       NA |          NA |        NA |
|  91 |         ELLIPTIC |            M49 |                        NA |                           NA |            NA |       NA |       OP |         NA |     NA |       NA |          NA |        NA |
|  92 |              SNR |             NA |                        NA |                           NA |            NA |       MM |       NA |         NA |     NA |       NA |          NA |        NA |
|  93 |         SPEC_RES |             NA |                        NA |                           NA |            NA |       MM |       MM |         MM |     NA |       NA |          NA |        NA |
|  94 |          SKY_RES |             NA |                        NA |                           NA |            MM |       NA |       MM |         NA |     NA |       NA |          NA |      MA45 |
|  95 |         SKY_RERR |             NA |                        NA |                           NA |          MA50 |       NA |     MA50 |         NA |     NA |       NA |          NA |      MA50 |
|  96 |           STREHL |           MA51 |                      MA51 |                         MA51 |            NA |     MA51 |     MA51 |         NA |   MA51 |       NA |          NA |        NA |
|  97 |          ARCFILE |             RE |                        RE |                           RE |            RE |       RE |       RE |         RE |     RE |       RE |          RE |        RE |
|  98 |         CHECKSUM |             MM |                        MM |                           MM |            MM |       MM |       MM |         MM |     MM |       MM |          MM |        MM |
|  99 |          DATASUM |             MM |                        MM |                           MM |            MM |       MM |       MM |         MM |     MM |       MM |          MM |        MM |
| 100 |         ORIGFILE |             RE |                        RE |                           RE |            RE |       RE |       RE |         RE |     RE |       RE |          RE |        RE |
| 101 |           P3ORIG |             RE |                        RE |                           RE |            RE |       RE |       RE |         RE |     RE |       RE |          RE |        RE |
| 102 |             NDIT |           MA52 |                      MA52 |                         MA52 |            NA |       NA |       NA |         NA |     NA |       NA |          NA |        NA |
| 103 |          NJITTER |           MA52 |                      MA52 |                         MA52 |            NA |       NA |       NA |         NA |     NA |       NA |          NA |        NA |
| 104 |         NOFFSETS |           MA52 |                      MA52 |                         MA52 |            NA |       NA |       NA |         NA |     NA |       NA |          NA |        NA |
| 105 |           NUSTEP |           MA52 |                      MA52 |                         MA52 |            NA |       NA |       NA |         NA |     NA |       NA |          NA |        NA |
| 106 |           FPRAia |             NA |                        NA |                           NA |            NA |       NA |       NA |         NA |     NA |     MA53 |          MM |      MA54 |
| 107 |           FPDEia |             NA |                        NA |                           NA |            NA |       NA |       NA |         NA |     NA |     MA53 |          MM |      MA53 |
| 108 |         SKYSQDEG |             NA |                        NA |                           NA |            NA |       NA |       NA |         NA |     NA |       MM |          MM |      MA54 |
| 109 |          M_EPOCH |             NA |                        NA |                           NA |            NA |       NA |       NA |         NA |     NA |     MA55 |        MA55 |      MA55 |
| 110 |         APMATCHD |             NA |                        NA |                           NA |            NA |       NA |       NA |         NA |     NA |     MA56 |        MA56 |      MA56 |
| 111 |           TXLNKi |             NA |                        NA |                           NA |            NA |       NA |       NA |         NA |     NA |     MA57 |   MA57 MA58 | MA57 MA58 |
| 112 |            TXRGF |             NA |                        NA |                           NA |            NA |       NA |       NA |         NA |     NA |     MA57 |          NA |      MA57 |
| 113 |            TXCTY |             NA |                        NA |                           NA |            NA |       NA |       NA |         NA |     NA |     MA57 |          NA |      MA57 |
| 114 |         NOESODAT |           MA59 |                      MA59 |                         MA59 |          MA59 |     MA59 |     MA59 |       MA59 |   MA59 |     MA59 |        MA59 |      MA59 |
| 126 |           TZEROi |             NA |                        NA |                           NA |            NA |       NA |       NA |         NA |     NA |       NO |          NO |        NO |
| 127 |           TSCALi |             NA |                        NA |                           NA |            NA |       NA |       NA |         NA |     NA |       NO |          NO |        NO |
| 128 |           EXTVER |             NA |                        NA |                           NA |            NA |       NA |       NA |         NA |     NA |       NO |          NO |        NO |
| 129 |         EXTLEVEL |             NA |                        NA |                           NA |            NA |       NA |       NA |         NA |     NA |       NO |          NO |        NO |
