| #  | Column Name       | IMAGE (single) | IMAGE (single) MEF format | MEFIMAGE (mosaic) MEF format | IMAGE.FLUXMAP | SPECTRUM |  CUBE.IFS | VISIBILITY | SRCTBL | MCATALOG | CATALOGTILE | CATALOG    |
| 37 | CRDERi      | R             | R                        | R                           | R            | N/A      | R       | N/A        | N/A    | N/A      | N/A         | N/A      |
| 38 | PHOTZP      | M             | M                        | M                           | N/A          | N/A      | N/A     | N/A        | Mapp41 | N/A      | N/A         | N/A      |
| 39 | PHOTZPER    | R             | R                        | R                           | N/A          | N/A      | N/A     | N/A        | R      | N/A      | N/A         | N/A      |
| 40 | PHOTSYS     | M             | M                        | M                           | N/A          | N/A      | N/A     | N/A        | M      | M        | M           | M        |
| 41 | SPECSYS     | N/A           | N/A                      | N/A                         | N/A          | M        | M       | M          | N/A    | N/A      | N/A         | N/A      |
| 42 | EXT_OBJ     | N/A           | N/A                      | N/A                         | N/A          | Mapp42   | N/A     | N/A        | N/A    | N/A      | N/A         | N/A      |
| 43 | CONTNORM    | N/A           | N/A                      | N/A                         | N/A          | M        | N/A     | N/A        | N/A    | N/A      | N/A         | N/A      |
| 44 | TOT_FLUX    | N/A           | N/A                      | N/A                         | N/A          | M        | N/A     | N/A        | N/A    | N/A      | N/A         | N/A      |
| 45 | FLUXERR     | N/A           | N/A                      | N/A                         | M            | M43      | N/A     | N/A        | N/A    | N/A      | N/A         | N/A      |
| 46 | WAVELMIN    | N/A           | N/A                      | N/A                         | M            | M        | M       | M          | N/A    | Mapp44   | Mapp44      | Mapp44   |
| 47 | WAVELMAX    | N/A           | N/A                      | N/A                         | M            | M        | M       | M          | N/A    | Mapp44   | Mapp44      | Mapp44   |
| 48 | LAMRMS      | N/A           | N/A                      | N/A                         | N/A          | O        | N/A     | N/A        | N/A    | N/A      | N/A         | N/A      |
| 49 | LAMNLIN     | N/A           | N/A                      | N/A                         | N/A          | O        | N/A     | N/A        | N/A    | N/A      | N/A         | N/A      |
| 50 | SPEC_BIN    | N/A           | N/A                      | N/A                         | N/A          | M        | NotAlw  | N/A        | N/A    | N/A      | N/A         | N/A      |
| 51 | SPEC_ERR    | N/A           | N/A                      | N/A                         | N/A          | R        | N/A     | M          | N/A    | N/A      | N/A         | N/A      |
| 52 | SPEC_SYE    | N/A           | N/A                      | N/A                         | N/A          | R        | N/A     | M          | N/A    | N/A      | N/A         | N/A      |
| 53 | RA_ERR      | NotAlw        | NotAlw                   | NotAlw                      | NotAlw       | R        | NotAlw  | N/A        | N/A    | N/A      | N/A         | N/A      |
| 54 | DEC_ERR     | NotAlw        | NotAlw                   | NotAlw                      | NotAlw       | R        | NotAlw  | N/A        | N/A    | N/A      | N/A         | N/A      |
| 55 | NELEM       | N/A           | N/A                      | N/A                         | N/A          | M        | N/A     | N/A        | N/A    | N/A      | N/A         | N/A      |
| 56 | VOCLASS     | N/A           | N/A                      | N/A                         | N/A          | M        | N/A     | N/A        | N/A    | N/A      | N/A         | N/A      |
| 57 | VOPUB       | N/A           | N/A                      | N/A                         | N/A          | M        | N/A     | N/A        | N/A    | N/A      | N/A         | N/A      |
| 58 | TITLE       | N/A           | N/A                      | N/A                         | N/A          | M        | N/A     | N/A        | N/A    | N/A      | N/A         | N/A      |
| 59 | APERTURE    | N/A           | N/A                      | N/A                         | N/A          | M        | N/A     | N/A        | N/A    | N/A      | N/A         | N/A      |
| 60 | TELAPSE     | N/A           | N/A                      | N/A                         | N/A          | M        | N/A     | N/A        | N/A    | N/A      | N/A         | N/A      |
| 61 | TMID        | N/A           | N/A                      | N/A                         | N/A          | M        | N/A     | N/A        | N/A    | N/A      | N/A         | N/A      |
| 62 | SPEC_VAL    | N/A           | N/A                      | N/A                         | N/A          | M        | N/A     | N/A        | N/A    | N/A      | N/A         | N/A      |
| 63 | SPEC_BW     | N/A           | N/A                      | N/A                         | N/A          | M        | N/A     | N/A        | N/A    | N/A      | N/A         | N/A      |
| 64 | BNOISE      | N/A           | N/A                      | N/A                         | M            | N/A      | N/A     | N/A        | N/A    | N/A      | N/A         | Mapp45   |
| 65 | MAPMODE     | N/A           | N/A                      | N/A                         | M            | N/A      | N/A     | N/A        | N/A    | N/A      | N/A         | Mapp45   |
| 66 | FEBEi       | N/A           | N/A                      | N/A                         | M            | N/A      | N/A     | N/A        | N/A    | N/A      | N/A         | Mapp45   |
| 67 | CONTENT     | N/A           | N/A                      | N/A                         | N/A          | N/A      | N/A     | M          | N/A    | N/A      | N/A         | N/A      |
| 68 | INSMODE     | N/A           | N/A                      | N/A                         | N/A          | N/A      | N/A     | M          | N/A    | N/A      | N/A         | N/A      |


| #   | Column Name  | IMAGE (single) | IMAGE (single) MEF format | MEFIMAGE (mosaic) MEF format | IMAGE.FLUXMAP | SPECTRUM | CUBE.IFS | VISIBILITY | SRCTBL | MCATALOG | CATALOGTILE | CATALOG  |
|-----|-------------|---------------|--------------------------|-----------------------------|--------------|----------|---------|------------|--------|----------|-------------|----------|
| 72  | VIS2ERR    | N/A           | N/A                      | N/A                         | N/A          | N/A      | N/A     | M          | N/A    | N/A      | N/A         | N/A      |
| 73  | T3PHIERR   | N/A           | N/A                      | N/A                         | N/A          | N/A      | N/A     | M          | N/A    | N/A      | N/A         | N/A      |
| 74  | STOKES     | Pol           | Pol                      | Pol                         | Pol          | Pol      | Pol     | Pol        | Pol    | Pol      | Pol         | Pol      |
| 75  | HDUCLASS   | N/A           | M                        | N/A                         | N/A          | N/A      | M       | N/A        | N/A    | N/A      | N/A         | N/A      |
| 76  | HDUCLASi   | N/A           | M                        | N/A                         | N/A          | N/A      | M       | N/A        | N/A    | N/A      | N/A         | N/A      |
| 77  | HDUDOC     | N/A           | M                        | N/A                         | N/A          | N/A      | M       | N/A        | N/A    | N/A      | N/A         | N/A      |
| 78  | HDUVERS    | N/A           | M                        | N/A                         | N/A          | N/A      | M       | N/A        | N/A    | N/A      | N/A         | N/A      |
| 79  | SCIDATA    | N/A           | Mapp46                   | N/A                         | N/A          | N/A      | Mapp46  | N/A        | N/A    | N/A      | N/A         | N/A      |
| 80  | ERRDATA    | N/A           | Mapp46                   | N/A                         | N/A          | N/A      | Mapp46  | N/A        | N/A    | N/A      | N/A         | N/A      |
| 81  | QUALDATA   | N/A           | Mapp46                   | N/A                         | N/A          | N/A      | Mapp46  | N/A        | N/A    | N/A      | N/A         | N/A      |
| 82  | CONFDATA   | N/A           | Mapp46                   | N/A                         | N/A          | N/A      | N/A     | N/A        | N/A    | N/A      | N/A         | N/A      |
| 83  | BKGDATA    | N/A           | Mapp46                   | N/A                         | N/A          | N/A      | N/A     | N/A        | N/A    | N/A      | N/A         | N/A      |
| 84  | BKGERR     | N/A           | Mapp46                   | N/A                         | N/A          | N/A      | N/A     | N/A        | N/A    | N/A      | N/A         | N/A      |
| 85  | BKGCONF    | N/A           | Mapp46                   | N/A                         | N/A          | N/A      | N/A     | N/A        | N/A    | N/A      | N/A         | N/A      |
| 86  | ABMAGLIM   | M             | M                        | M                           | NotAlw       | N/A      | M       | N/A        | M      | Mapp47   | Mapp47      | Mapp47   |
| 87  | PIXNOISE   | N/A           | N/A                      | N/A                         | N/A          | N/A      | M       | N/A        | N/A    | N/A      | N/A         | N/A      |
| 88  | MAGLIMi    | N/A           | N/A                      | N/A                         | N/A          | N/A      | N/A     | N/A        | N/A    | Mapp48   | Mapp48      | Mapp48   |
| 89  | ABMAGSAT   | M             | M                        | M                           | N/A          | N/A      | N/A     | N/A        | M      | N/A      | N/A         | N/A      |
| 90  | PSF_FWHM   | M             | M                        | M                           | N/A          | N/A      | N/A     | N/A        | M      | N/A      | N/A         | N/A      |
| 91  | ELLIPTIC   | M49           | M49                      | M49                         | N/A          | N/A      | O       | N/A        | M49    | N/A      | N/A         | N/A      |
| 92  | SNR        | N/A           | N/A                      | N/A                         | N/A          | M        | N/A     | N/A        | N/A    | N/A      | N/A         | N/A      |
| 93  | SPEC_RES   | N/A           | N/A                      | N/A                         | N/A          | M        | M       | M          | N/A    | N/A      | N/A         | N/A      |
| 94  | SKY_RES    | N/A           | N/A                      | N/A                         | M            | N/A      | M       | N/A        | N/A    | N/A      | N/A         | Mapp45   |
| 95  | SKY_RERR   | N/A           | N/A                      | N/A                         | Mapp50       | N/A      | Mapp50  | N/A        | N/A    | N/A      | N/A         | Mapp50   |
| 96  | STREHL     | Mapp51        | Mapp51                   | Mapp51                      | N/A          | Mapp51   | Mapp51  | N/A        | Mapp51 | N/A      | N/A         | N/A      |
| 97  | ARCFILE    | R             | R                        | R                           | R            | R        | R       | R          | R      | R        | R           | R        |
| 98  | CHECKSUM   | M             | M                        | M                           | M            | M        | M       | M          | M      | M        | M           | M        |
| 99  | DATASUM    | M             | M                        | M                           | M            | M        | M       | M          | M      | M        | M           | M        |
| 100 | ORIGFILE   | R             | R                        | R                           | R            | R        | R       | R          | R      | R        | R           | R        |
| 101 | P3ORIG     | R             | R                        | R                           | R            | R        | R       | R          | R      | R        | R           | R        |
| 102 | NDIT       | Mapp52        | Mapp52                   | Mapp52                      | N/A          | N/A      | N/A     | N/A        | N/A    | N/A      | N/A         | N/A      |
| 103 | NJITTER    | Mapp52        | Mapp52                   | Mapp52                      | N/A          | N/A      | N/A     | N/A        | N/A    | N/A      | N/A         | N/A      |
| 104 | NOFFSETS   | Mapp52        | Mapp52                   | Mapp52                      | N/A          | N/A      | N/A     | N/A        | N/A    | N/A      | N/A         | N/A      |
| 105 | NUSTEP     | Mapp52        | Mapp52                   | Mapp52                      | N/A          | N/A      | N/A     | N/A        | N/A    | N/A      | N/A         | N/A      |
| 106 | FPRAia     | N/A           | N/A                      | N/A                         | N/A          | N/A      | N/A     | N/A        | N/A    | Mapp53   | M           | Mapp54   |
